[23Apr2025 16:58:00.071] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--gameDir, ., --launchTarget, fmlserver, --fml.forgeVersion, 36.2.42, --fml.mcpVersion, 20210115.111550, --fml.mcVersion, 1.16.5, --fml.forgeGroup, net.minecraftforge, nogui]
[23Apr2025 16:58:00.075] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 8.1.3+8.1.3+main-8.1.x.c94d18ec starting: java version 11.0.26 by Ubuntu
[23Apr2025 16:58:00.351] [main/INFO] [net.minecraftforge.fml.loading.FixSSL/CORE]: Added Lets Encrypt root certificates as additional trust
[23Apr2025 16:58:00.413] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.4 Source=file:/workspaces/seriusly/servidor_minecraft/libraries/org/spongepowered/mixin/0.8.4/mixin-0.8.4.jar Service=ModLauncher Env=SERVER
[23Apr2025 16:58:00.942] [main/INFO] [STDERR/]: [jdk.nashorn.api.scripting.NashornScriptEngine:<init>:143]: Warning: Nashorn engine is planned to be removed from a future JDK release
[23Apr2025 16:58:01.036] [main/INFO] [STDERR/]: [jdk.nashorn.api.scripting.NashornScriptEngine:<init>:143]: Warning: Nashorn engine is planned to be removed from a future JDK release
[23Apr2025 16:58:01.044] [main/INFO] [STDERR/]: [jdk.nashorn.api.scripting.NashornScriptEngine:<init>:143]: Warning: Nashorn engine is planned to be removed from a future JDK release
[23Apr2025 16:58:01.050] [main/INFO] [STDERR/]: [jdk.nashorn.api.scripting.NashornScriptEngine:<init>:143]: Warning: Nashorn engine is planned to be removed from a future JDK release
[23Apr2025 16:58:01.056] [main/INFO] [STDERR/]: [jdk.nashorn.api.scripting.NashornScriptEngine:<init>:143]: Warning: Nashorn engine is planned to be removed from a future JDK release
[23Apr2025 16:58:02.572] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'fmlserver' with arguments [--gameDir, ., nogui]
[23Apr2025 16:58:10.021] [modloading-worker-0/INFO] [Dungeon Crawl/]: Here we go! Launching Dungeon Crawl 2.3.12...
[23Apr2025 16:58:10.193] [modloading-worker-2/INFO] [me.treyruffy.betterf3.BetterF3Forge/]: [BetterF3] Starting...
[23Apr2025 16:58:10.193] [modloading-worker-2/WARN] [me.treyruffy.betterf3.BetterF3Forge/]: [BetterF3] Not supported on dedicated server!
[23Apr2025 16:58:10.253] [modloading-worker-0/INFO] [net.minecraftforge.common.ForgeMod/FORGEMOD]: Forge mod loading, version 36.2.42, for MC 1.16.5 with MCP 20210115.111550
[23Apr2025 16:58:10.256] [modloading-worker-0/INFO] [net.minecraftforge.common.MinecraftForge/FORGE]: MinecraftForge v36.2.42 Initialized
[23Apr2025 16:58:10.311] [modloading-worker-2/INFO] [expandability/]: ExpandAbility here, who dis?
[23Apr2025 16:58:11.109] [modloading-worker-1/INFO] [com.refinedmods.refinedstorage.apiimpl.API/]: Found 0 RS API injection points
[23Apr2025 16:58:14.825] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Configuration file /workspaces/seriusly/servidor_minecraft/config/sophisticatedbackpacks-common.toml is not correct. Correcting
[23Apr2025 16:58:14.826] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.826] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.enabledItems was corrected from null to its default, []. 
[23Apr2025 16:58:14.827] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.disallowedItems was corrected from null to its default, []. 
[23Apr2025 16:58:14.827] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.leatherBackpack was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.827] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.leatherBackpack.inventorySlotCount was corrected from null to its default, 27. 
[23Apr2025 16:58:14.827] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.leatherBackpack.upgradeSlotCount was corrected from null to its default, 1. 
[23Apr2025 16:58:14.828] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.ironBackpack was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.828] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.ironBackpack.inventorySlotCount was corrected from null to its default, 54. 
[23Apr2025 16:58:14.828] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.ironBackpack.upgradeSlotCount was corrected from null to its default, 2. 
[23Apr2025 16:58:14.829] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.goldBackpack was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.829] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.goldBackpack.inventorySlotCount was corrected from null to its default, 81. 
[23Apr2025 16:58:14.829] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.goldBackpack.upgradeSlotCount was corrected from null to its default, 3. 
[23Apr2025 16:58:14.830] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.diamondBackpack was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.830] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.diamondBackpack.inventorySlotCount was corrected from null to its default, 108. 
[23Apr2025 16:58:14.831] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.diamondBackpack.upgradeSlotCount was corrected from null to its default, 5. 
[23Apr2025 16:58:14.834] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.netheriteBackpack was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.836] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.netheriteBackpack.inventorySlotCount was corrected from null to its default, 120. 
[23Apr2025 16:58:14.836] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.netheriteBackpack.upgradeSlotCount was corrected from null to its default, 7. 
[23Apr2025 16:58:14.839] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.compactingUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.839] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.compactingUpgrade.filterSlots was corrected from null to its default, 9. 
[23Apr2025 16:58:14.839] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.compactingUpgrade.slotsInRow was corrected from null to its default, 3. 
[23Apr2025 16:58:14.840] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedCompactingUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.843] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedCompactingUpgrade.filterSlots was corrected from null to its default, 16. 
[23Apr2025 16:58:14.844] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedCompactingUpgrade.slotsInRow was corrected from null to its default, 4. 
[23Apr2025 16:58:14.845] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.depositUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
[23Apr2025 16:58:14.845] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.depositUpgrade.filterSlots was corrected from null to its default, 9. 
[23Apr2025 16:58:14.845] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.depositUpgrade.slotsInRow was corrected from null to its default, 3. 
[23Apr2025 16:58:14.846] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.advancedDepositUpgrade was corrected from null to its default, SimpleCommentedConfig:{}. 
